short_title,weight,width,height
Garena Free Fire,48,0.7559027777777778,0.08888888888888888
Clash of Clans,43,0.5883680555555555,0.08194444444444446
PUBG MOBILE,38,0.5069444444444444,0.07222222222222222
Subway Surfers,37,0.5578125,0.06944444444444445
Candy Crush Saga,36,0.6385416666666667,0.06666666666666668
Clash Royale,35,0.43333333333333335,0.0652777777777778
Mobile Legends,34,0.5107638888888888,0.0652777777777778
Roblox,31,0.19965277777777773,0.05833333333333333
8 Ball Pool,31,0.3098958333333333,0.05833333333333333
Brawl Stars,29,0.31875000000000003,0.05555555555555556
My Talking Tom,28,0.40902777777777777,0.05277777777777779
Pokémon GO,26,0.32274305555555555,0.04722222222222224
Sniper 3D,26,0.24704861111111115,0.04722222222222224
Call of Duty,26,0.29357638888888893,0.04722222222222224
Dream League Soccer,25,0.5310763888888889,0.04722222222222224
My Talking Angela,25,0.43385416666666665,0.04722222222222224
Hay Day,24,0.19670138888888888,0.04583333333333336
Among Us,24,0.23645833333333338,0.04583333333333336
Pou,24,0.08420138888888884,0.04583333333333336
Gardenscapes,23,0.31631944444444443,0.04305555555555555
Minion Rush,23,0.26857638888888885,0.04305555555555555
Hill Climb Racing,22,0.3595486111111111,0.04027777777777778
Homescapes,22,0.2717013888888889,0.04027777777777778
Temple Run 2,22,0.2864583333333333,0.04027777777777778
Farm Heroes Saga,21,0.36892361111111116,0.038888888888888896
Township,20,0.17621527777777773,0.038888888888888896
Candy Crush Soda,20,0.35503472222222227,0.038888888888888896
Traffic Rider,19,0.21961805555555558,0.036111111111111115
PUBG MOBILE LITE,19,0.3423611111111111,0.036111111111111115
Ludo King,19,0.18142361111111116,0.036111111111111115
Trivia Crack,19,0.21319444444444446,0.036111111111111115
Hungry Shark Evolution,19,0.434375,0.036111111111111115
Plants vs Zombies,19,0.3342013888888889,0.036111111111111115
Geometry Dash Lite,19,0.3670138888888889,0.036111111111111115
Score,18,0.09756944444444438,0.03333333333333335
eFootball PES 2021,18,0.3345486111111111,0.03333333333333335
Lords Mobile,18,0.2192708333333333,0.03333333333333335
Gangstar Vegas,17,0.2586805555555556,0.031944444444444435
Traffic Racer,17,0.20329861111111108,0.031944444444444435
Dr. Driving,17,0.17482638888888885,0.031944444444444435
Boom Beach,17,0.20625000000000004,0.031944444444444435
Zombie Tsunami,17,0.26944444444444443,0.031944444444444435
Coin Master,17,0.1953125,0.031944444444444435
Angry Birds 2,17,0.22118055555555555,0.031944444444444435
Pixel Gun 3D,17,0.2102430555555555,0.031944444444444435
The Sims FreePlay,16,0.2814236111111111,0.031944444444444435
Bowmasters,16,0.19045138888888885,0.031944444444444435
Sonic Dash,16,0.171875,0.031944444444444435
Fruit Ninja,16,0.15711805555555558,0.031944444444444435
SimCity BuildIt,16,0.22760416666666666,0.031944444444444435
Plants vs. Zombies,16,0.2911458333333334,0.031944444444444435
Castle Clash,15,0.1786458333333334,0.02777777777777777
Jetpack Joyride,15,0.21440972222222227,0.02777777777777777
Fishdom,15,0.12013888888888885,0.02777777777777777
Temple Run,15,0.16753472222222227,0.02777777777777777
Standoff 2,15,0.14947916666666666,0.02777777777777777
Top Eleven 2021,15,0.23836805555555562,0.02777777777777777
Talking Tom Gold,15,0.24374999999999997,0.02777777777777777
Cooking Fever,15,0.20572916666666669,0.02777777777777777
Garena Liên Quân,15,0.26006944444444446,0.02777777777777777
Need for Speed,14,0.21006944444444442,0.026388888888888885
Banana Kong,14,0.17743055555555554,0.026388888888888885
CSR Racing 2,14,0.18055555555555558,0.026388888888888885
Brain Out,14,0.12829861111111107,0.026388888888888885
Crossy Road,14,0.16684027777777777,0.026388888888888885
Criminal Case,14,0.1875,0.026388888888888885
War Robots. 6v6,14,0.22152777777777777,0.026388888888888885
MORTAL KOMBAT,14,0.23003472222222227,0.026388888888888885
My Cafe,14,0.109375,0.026388888888888885
Last Day on,14,0.15989583333333335,0.026388888888888885
Brain Test,14,0.1328125,0.026388888888888885
Agar.io,14,0.09392361111111103,0.026388888888888885
Minecraft,14,0.1269097222222222,0.026388888888888885
The Simpsons,14,0.18888888888888888,0.026388888888888885
DEER HUNTER CLASSIC,13,0.2947916666666666,0.025
Angry Birds Go,13,0.1881944444444445,0.025
Grow Empire,13,0.16180555555555554,0.025
World of Tanks,13,0.18263888888888885,0.025
Episode,13,0.09878472222222223,0.025
My Talking Tom,13,0.19027777777777777,0.025
Extreme Car Driving,13,0.2553819444444445,0.025
Plague Inc.,12,0.1269097222222222,0.02083333333333333
Modern Combat 5,12,0.20694444444444443,0.02083333333333333
Fallout Shelter,12,0.16684027777777777,0.02083333333333333
Vector,12,0.07378472222222232,0.02083333333333333
Monster Legends,12,0.19791666666666669,0.02083333333333333
Granny,12,0.08454861111111112,0.02083333333333333
Toon Blast,12,0.11822916666666666,0.02083333333333333
Kick the Buddy,12,0.1737847222222222,0.02083333333333333
Special Forces Group,12,0.24322916666666666,0.02083333333333333
Carrom Pool,12,0.14045138888888892,0.02083333333333333
Shadow Fight 3,11,0.1628472222222222,0.02083333333333333
Dream League Soccer,11,0.2350694444444445,0.02083333333333333
DEAD TRIGGER 2,11,0.18281250000000004,0.02083333333333333
Mini Militia,11,0.11475694444444451,0.02083333333333333
AFK Arena,11,0.1098958333333333,0.02083333333333333
Bid Wars,11,0.09357638888888897,0.02083333333333333
Avakin Life,11,0.1159722222222222,0.02083333333333333
EA SPORTS UFC,11,0.16718750000000004,0.02083333333333333
World Cricket Championship,11,0.30173611111111115,0.02083333333333333
Bike Race Free,11,0.15659722222222228,0.02083333333333333
Bubble Witch 2,11,0.16145833333333331,0.02083333333333333
Toy Blast,11,0.09479166666666661,0.02083333333333333
Bowling King,11,0.13767361111111115,0.02083333333333333
FarmVille 2,11,0.11822916666666666,0.02083333333333333
DragonFlight,11,0.13767361111111115,0.02083333333333333
Dragon Mania Legends,10,0.22222222222222227,0.019444444444444445
Call of Duty,10,0.11336805555555557,0.019444444444444445
CATS,10,0.04930555555555549,0.019444444444444445
Pooking,10,0.07586805555555554,0.019444444444444445
Flight Pilot Simulator,10,0.20104166666666662,0.019444444444444445
Angry Birds Epic,10,0.15833333333333338,0.019444444444444445
94,10,0.024652777777777857,0.019444444444444445
Zynga Poker,10,0.12048611111111107,0.019444444444444445
Injustice,10,0.08072916666666674,0.019444444444444445
Happy Color,10,0.11909722222222219,0.019444444444444445
Bubble Witch 3,10,0.14635416666666662,0.019444444444444445
CSR Racing,10,0.11093749999999991,0.019444444444444445
Swamp Attack,10,0.13906250000000003,0.019444444444444445
Tiles Hop,10,0.08854166666666674,0.019444444444444445
101 Yüzbir Okey,10,0.1555555555555555,0.019444444444444445
Magic Tiles 3,9,0.11336805555555557,0.01805555555555556
GUNSHIP BATTLE,9,0.14861111111111108,0.01805555555555556
Eternium,9,0.07881944444444444,0.01805555555555556
Real Steel World,9,0.14305555555555555,0.01805555555555556
Red Ball 4,9,0.08802083333333344,0.01805555555555556
Clash of Kings,9,0.12291666666666662,0.01805555555555556
Cut the Rope,9,0.11319444444444443,0.01805555555555556
New Star Soccer,9,0.14392361111111107,0.01805555555555556
Critical Ops,9,0.10034722222222214,0.01805555555555556
Talking Tom Cat,9,0.13645833333333335,0.01805555555555556
Harry Potter,9,0.10520833333333335,0.01805555555555556
Word Cookies,9,0.11822916666666666,0.01805555555555556
Soccer Stars,9,0.109375,0.01805555555555556
The Tribez,9,0.0888888888888888,0.01805555555555556
Minecraft Trial,9,0.12309027777777781,0.01805555555555556
Fun Race 3D,9,0.10954861111111103,0.01805555555555556
Beach Buggy Racing,9,0.17986111111111108,0.01805555555555556
Block Craft 3D,9,0.1255208333333333,0.01805555555555556
My Home,9,0.08194444444444438,0.01805555555555556
Where,9,0.05642361111111116,0.01805555555555556
LINE Rangers,9,0.11579861111111112,0.01805555555555556
Parchisi STAR Online,9,0.17829861111111112,0.01805555555555556
Vlogger Go Viral,9,0.14166666666666666,0.01805555555555556
Yu,9,0.019618055555555625,0.01805555555555556
Empires,9,0.07013888888888897,0.01805555555555556
Worms Zone .io,9,0.13559027777777777,0.01805555555555556
Asphalt 9,9,0.08177083333333335,0.01805555555555556
Cooking Madness,9,0.15243055555555557,0.01805555555555556
Best Fiends,9,0.09947916666666667,0.01805555555555556
