short_title,weight,width,height,vertical,cx,cy
Garena Free Fire,48,0.7559027777777778,0.0888888888888888,0,0.0,0.0
Clash of Clans,43,0.5883680555555555,0.0819444444444444,0,0.0,0.0888
PUBG MOBILE,38,0.5069444444444444,0.0722222222222222,0,0.7559,0.0
Subway Surfers,37,0.5578125,0.0694444444444444,0,0.5883,0.1554
Candy Crush Saga,36,0.6385416666666667,0.0666666666666666,0,0.5883,0.0888
Clash Royale,35,0.4333333333333333,0.0652777777777778,0,0.5107,0.2248
Mobile Legends,34,0.5107638888888888,0.0652777777777778,0,0.0,0.1707
Roblox,31,0.1996527777777777,0.0583333333333333,0,1.0256,0.4246
8 Ball Pool,31,0.3098958333333333,0.0583333333333333,0,0.944,0.2248
Brawl Stars,29,0.31875,0.0555555555555555,0,0.9648,0.2831
My Talking Tom,28,0.4090277777777777,0.0527777777777777,0,0.0,0.2359
Pokémon GO,26,0.3227430555555555,0.0472222222222222,0,0.4343,0.3372
Sniper 3D,26,0.2470486111111111,0.0472222222222222,0,1.0505,0.3774
Call of Duty,26,0.2935763888888889,0.0472222222222222,0,0.757,0.3774
Dream League Soccer,25,0.5310763888888889,0.0472222222222222,0,0.0,0.29
My Talking Angela,25,0.4338541666666666,0.0472222222222222,0,0.531,0.29
Hay Day,24,0.1967013888888888,0.0458333333333333,0,0.2864,0.5342
Among Us,24,0.2364583333333333,0.0458333333333333,0,0.6027,0.494
Pou,24,0.0842013888888888,0.0458333333333333,0,1.2252,0.4246
Gardenscapes,23,0.3163194444444444,0.0430555555555555,0,0.0,0.4149
Minion Rush,23,0.2685763888888888,0.0430555555555555,0,0.3342,0.4593
Hill Climb Racing,22,0.3595486111111111,0.0402777777777777,0,0.0,0.3747
Homescapes,22,0.2717013888888889,0.0402777777777777,0,0.9372,0.4829
Temple Run 2,22,0.2864583333333333,0.0402777777777777,0,0.0,0.4954
Farm Heroes Saga,21,0.3689236111111111,0.0388888888888888,0,0.757,0.3386
Township,20,0.1762152777777777,0.0388888888888888,0,1.1259,0.3386
Candy Crush Soda,20,0.3550347222222222,0.0388888888888888,0,0.3595,0.3844
Traffic Rider,19,0.2196180555555555,0.0361111111111111,0,0.4831,0.5398
PUBG MOBILE LITE,19,0.3423611111111111,0.0361111111111111,0,0.6833,0.4246
Ludo King,19,0.1814236111111111,0.0361111111111111,0,0.0,0.752
Trivia Crack,19,0.2131944444444444,0.0361111111111111,0,0.0,0.5994
Hungry Shark Evolution,19,0.434375,0.0361111111111111,0,0.0,0.3386
Plants vs Zombies,19,0.3342013888888889,0.0361111111111111,0,0.0,0.4593
Geometry Dash Lite,19,0.3670138888888889,0.0361111111111111,0,0.3163,0.4232
Score,18,0.0975694444444443,0.0333333333333333,0,0.7406,0.7324
eFootball PES 2021,18,0.3345486111111111,0.0333333333333333,0,0.6027,0.4607
Lords Mobile,18,0.2192708333333333,0.0333333333333333,0,0.2131,0.5994
Gangstar Vegas,17,0.2586805555555556,0.0319444444444444,0,0.8391,0.5231
Traffic Racer,17,0.203298611111111,0.0319444444444444,0,0.0,0.7881
Dr. Driving,17,0.1748263888888888,0.0319444444444444,0,0.0,0.82
Boom Beach,17,0.20625,0.0319444444444444,0,0.0,0.7201
Zombie Tsunami,17,0.2694444444444444,0.0319444444444444,0,0.0,0.5675
Coin Master,17,0.1953125,0.0319444444444444,0,0.1814,0.752
Angry Birds 2,17,0.2211805555555555,0.0319444444444444,0,0.2276,0.6605
Pixel Gun 3D,17,0.2102430555555555,0.0319444444444444,0,1.0977,0.5231
